lead_date,dry,normal,monsoon,lead_month,Year,region,Month
200008,2.04,12.84,16.12,04,2000,AZ_East,8
200009,8.92,14.88,6.2,04,2000,AZ_East,9
200010,26.2,4.6,0.2,04,2000,AZ_East,10
200006,22.76,6.92,0.32,05,2000,AZ_East,6
200007,4.48,16.6,9.92,05,2000,AZ_East,7
200008,0.76,11.76,18.48,05,2000,AZ_East,8
200009,9.04,13.36,7.6,05,2000,AZ_East,9
200010,27.12,3.68,0.2,05,2000,AZ_East,10
200006,22.84,6.4,0.76,06,2000,AZ_East,6
200007,2.96,14.12,13.92,06,2000,AZ_East,7
200008,0.28,11.16,19.56,06,2000,AZ_East,8
200009,8.52,16.64,4.84,06,2000,AZ_East,9
200010,25.52,5.2,0.28,06,2000,AZ_East,10
200007,11.92,14.28,3.8,07,2000,AZ_East,7
200008,2.24,17.64,11.12,07,2000,AZ_East,8
200009,12.32,14.76,3.92,07,2000,AZ_East,9
200010,27.68,2.16,0.16,07,2000,AZ_East,10
200008,1.44,16.6,11.96,08,2000,AZ_East,8
200009,12.56,14.56,3.88,08,2000,AZ_East,9
200010,26.84,4.12,0.04,08,2000,AZ_East,10
200106,24.84,4.84,0.32,04,2001,AZ_East,6
200107,7.48,15.48,8.04,04,2001,AZ_East,7
200108,0.96,13.56,16.48,04,2001,AZ_East,8
200109,7.88,16.72,5.4,04,2001,AZ_East,9
200110,24.88,5.68,0.44,04,2001,AZ_East,10
200106,24.48,5.04,0.48,05,2001,AZ_East,6
200107,5.64,15.44,9.92,05,2001,AZ_East,7
200108,1.72,14.4,14.88,05,2001,AZ_East,8
200109,13.36,11.84,4.8,05,2001,AZ_East,9
200110,25.84,4.72,0.44,05,2001,AZ_East,10
200106,23.2,6.36,0.44,06,2001,AZ_East,6
200107,3.92,16.56,10.52,06,2001,AZ_East,7
200108,0.8,12.28,17.92,06,2001,AZ_East,8
200109,7.32,15.64,7.04,06,2001,AZ_East,9
200110,26.08,4.68,0.24,06,2001,AZ_East,10
200107,4.64,16.64,8.72,07,2001,AZ_East,7
200108,2.16,13.28,15.56,07,2001,AZ_East,8
200109,12.28,12.76,5.96,07,2001,AZ_East,9
200110,26.04,3.8,0.16,07,2001,AZ_East,10
200108,1.16,8.96,19.88,08,2001,AZ_East,8
200109,8.56,15.76,6.68,08,2001,AZ_East,9
200110,26.12,4.48,0.4,08,2001,AZ_East,10
200206,25.08,4.2,0.72,04,2002,AZ_East,6
200207,6.2,15.56,9.24,04,2002,AZ_East,7
200208,1.48,14.28,15.24,04,2002,AZ_East,8
200209,8.24,15.8,5.96,04,2002,AZ_East,9
200210,24.92,5.52,0.56,04,2002,AZ_East,10
200206,25.16,4.48,0.36,05,2002,AZ_East,6
200207,4.6,16.36,10.04,05,2002,AZ_East,7
200208,1.84,14.76,14.4,05,2002,AZ_East,8
200209,9.6,13.8,6.6,05,2002,AZ_East,9
200210,24.16,6.48,0.36,05,2002,AZ_East,10
200206,24.96,4.6,0.44,06,2002,AZ_East,6
200207,6.28,15.56,9.16,06,2002,AZ_East,7
200208,0.56,14.32,16.12,06,2002,AZ_East,8
200209,7.24,16.16,6.6,06,2002,AZ_East,9
200210,24.24,6.16,0.6,06,2002,AZ_East,10
200207,8.52,14.88,6.6,07,2002,AZ_East,7
200208,2.04,16.72,12.24,07,2002,AZ_East,8
200209,12.28,15.28,3.44,07,2002,AZ_East,9
200210,24.68,5.08,0.24,07,2002,AZ_East,10
200208,0.88,16.24,12.88,08,2002,AZ_East,8
200209,9.72,15.76,5.52,08,2002,AZ_East,9
200210,22.6,7.72,0.68,08,2002,AZ_East,10
200306,24.64,4.68,0.68,04,2003,AZ_East,6
200307,5.96,14.36,10.68,04,2003,AZ_East,7
200308,0.48,14.28,16.24,04,2003,AZ_East,8
200309,8.6,15.52,5.88,04,2003,AZ_East,9
200310,25.2,5,0.8,04,2003,AZ_East,10
200306,25.6,3.92,0.48,05,2003,AZ_East,6
200307,4.04,16.64,10.32,05,2003,AZ_East,7
200308,1.16,12.52,17.32,05,2003,AZ_East,8
200309,9.44,13.04,7.52,05,2003,AZ_East,9
200310,25.24,5.4,0.36,05,2003,AZ_East,10
200306,26.8,2.84,0.36,06,2003,AZ_East,6
200307,7,15.96,8.04,06,2003,AZ_East,7
